Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion,Proporcion de peticiones servidas
0,216,398,32,-468,93,1158.9588,0.25
1,6015,5690,32,-37204,83,902.7989,0.3384615384615385
2,6253,7980,32,5348,83,991.9911,0.25984251968503935
3,661,8365,32,6280,87,1337.0861,0.29927007299270075
4,8181,7533,32,-3184,95,1157.1773,0.2440944881889764
5,1409,9934,32,1212,89,1088.0195,0.328125
6,6359,9165,32,380,89,1078.0316,0.26229508196721313
7,9855,5649,32,1564,81,941.2463,0.2540983606557377
8,8985,7550,32,12052,86,1023.2748,0.19827586206896552
9,8889,8826,32,17252,93,1392.5694,0.2727272727272727
