Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion,Proporcion de peticiones servidas
0,216,398,16,36888,96,1070.6563,0.2
1,6015,5690,16,28332,95,1057.7815,0.23076923076923078
2,6253,7980,16,50260,104,1398.708,0.2125984251968504
3,661,8365,16,50480,89,1399.8039,0.27007299270072993
4,8181,7533,16,45224,109,1555.4123,0.2125984251968504
5,1409,9934,16,47432,106,1536.4925,0.21875
6,6359,9165,16,48384,99,1322.6736,0.18032786885245902
7,9855,5649,16,49188,100,1490.5296,0.18032786885245902
8,8985,7550,16,53008,94,1251.3809,0.13793103448275862
9,8889,8826,16,56892,103,1656.8983,0.24242424242424243
