Numero de prueba,Seed centros:,Seed gasolineras,MaxKm,Beneficio,Nodos expandidos,Tiempo de ejecucion,Proporcion de peticiones servidas
0,216,398,4,84988,108,1107.4588,0.16666666666666666
1,6015,5690,4,81044,106,1118.6945,0.23846153846153847
2,6253,7980,4,88776,115,1359.295,0.2125984251968504
3,661,8365,4,87456,100,1330.69,0.27007299270072993
4,8181,7533,4,87404,112,1423.5257,0.2125984251968504
5,1409,9934,4,85828,93,1176.3319,0.21875
6,6359,9165,4,86080,112,1338.3793,0.18032786885245902
7,9855,5649,4,86864,103,1175.8261,0.18032786885245902
8,8985,7550,4,88940,113,1235.5139,0.13793103448275862
9,8889,8826,4,88900,108,1588.2987,0.24242424242424243
